浙江省-丽水市-云和县,23
浙江省-丽水市-庆元县,28
浙江省-丽水市-景宁县,12
浙江省-丽水市-景宁畲族自治县,2
浙江省-丽水市-松阳县,20
浙江省-丽水市-缙云县,33
浙江省-丽水市-莲都区,74
浙江省-丽水市-遂昌县,19
浙江省-丽水市-青田县,31
浙江省-丽水市-龙泉市,33
浙江省-台州市-三门县,27
浙江省-台州市-临海市,70
浙江省-台州市-仙居县,34
浙江省-台州市-台州经济开发区,1
浙江省-台州市-天台县,52
浙江省-台州市-椒江区,56
浙江省-台州市-温岭市,128
浙江省-台州市-玉环市,52
浙江省-台州市-经济开发区-6
浙江省-台州市-路桥区,46
浙江省-台州市-黄岩区,49
浙江省-嘉兴市-南湖区,33
浙江省-嘉兴市-嘉善县,9
浙江省-嘉兴市-平湖市,11
浙江省-嘉兴市-桐乡市,21
浙江省-嘉兴市-海宁市,49
浙江省-嘉兴市-海盐县,7
浙江省-嘉兴市-秀洲区,13
浙江省-嘉兴市-郊  区,1
浙江省-宁波市-余姚市,5
浙江省-宁波市-北仑区,6
浙江省-宁波市-奉化市,34
浙江省-宁波市-宁海县,4
浙江省-宁波市-慈溪市,4
浙江省-宁波市-江东区,8
浙江省-宁波市-江北区,7
浙江省-宁波市-海曙区,1
浙江省-宁波市-象山县,1
浙江省-宁波市-鄞州区,25
浙江省-宁波市-镇海区,14
浙江省-杭州市-上城区,25
浙江省-杭州市-下城区,23
浙江省-杭州市-临安市,20
浙江省-杭州市-余杭区,267
浙江省-杭州市-富阳市,17
浙江省-杭州市-建德市,6
浙江省-杭州市-拱墅区,47
浙江省-杭州市-桐庐县,34
浙江省-杭州市-江干区,337
浙江省-杭州市-淳安县,2
浙江省-杭州市-滨江区,53
浙江省-杭州市-经济技术开发区-5
浙江省-杭州市-萧山区,100
浙江省-杭州市-西湖区,96
浙江省-温州市-乐清市,56
浙江省-温州市-平阳县,20
浙江省-温州市-文成县,15
浙江省-温州市-永嘉县,27
浙江省-温州市-泰顺县,6
浙江省-温州市-洞头县,7
浙江省-温州市-瑞安市,87
浙江省-温州市-瓯海区,58
浙江省-温州市-苍南县,26
浙江省-温州市-鹿城区,97
浙江省-温州市-龙湾区,106
浙江省-湖州市-南浔区,69
浙江省-湖州市-吴兴区,141
浙江省-湖州市-安吉县,80
浙江省-湖州市-德清县,99
浙江省-湖州市-长兴县,157 
浙江省-绍兴市-上虞区,71
浙江省-绍兴市-嵊州市,54
浙江省-绍兴市-新昌县,35
浙江省-绍兴市-柯桥区,107
浙江省-绍兴市-滨海新城,1
浙江省-绍兴市-诸暨市,132
浙江省-绍兴市-越城区,66
浙江省-舟山市-定海区,63
浙江省-舟山市-岱山县,8
浙江省-舟山市-嵊泗县,1
浙江省-舟山市-普陀区,22
浙江省-衢州市-常山县,30
浙江省-衢州市-开化县,17
浙江省-衢州市-柯城区,29
浙江省-衢州市-江山市,56
浙江省-衢州市-衢江区,22
浙江省-衢州市-龙游县,15
浙江省-金华市-东阳市,123
浙江省-金华市-义乌市,36
浙江省-金华市-兰溪市,33
浙江省-金华市-婺城区,35
浙江省-金华市-永康市,62
浙江省-金华市-浦江县,3
浙江省-金华市-金东区,18
浙江省-其他地区,6
浙江省
